team,group,elo_rank,elo_change_1y,elo_points,updated,competition,source_url
Mexico,A,14,10,1881,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
South Africa,A,80,-5,1511,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
South Korea,A,26,6,1786,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Czech Republic,A,44,-9,1712,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Canada,B,32,-3,1767,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Bosnia and Herzegovina,B,59,16,1616,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Qatar,B,90,-12,1447,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Switzerland,B,19,-1,1865,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Brazil,C,7,-2,1978,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Morocco,C,22,3,1840,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Haiti,C,75,9,1536,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Scotland,C,25,15,1794,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
United States,D,27,17,1780,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Paraguay,D,27,-4,1780,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Australia,D,23,8,1839,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Turkey,D,21,1,1849,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Germany,E,9,1,1939,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Curacao,E,94,11,1427,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Ivory Coast,E,37,28,1743,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Ecuador,E,13,-2,1890,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Netherlands,F,8,-1,1944,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Japan,F,12,4,1910,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Sweden,F,35,-2,1755,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Tunisia,F,69,-11,1585,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Belgium,G,15,2,1879,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Egypt,G,45,5,1711,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Iran,G,34,-8,1756,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
New Zealand,G,70,-8,1578,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Spain,H,1,0,2129,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Cape Verde,H,64,13,1606,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Saudi Arabia,H,66,-7,1598,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Uruguay,H,16,-4,1870,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
France,I,3,0,2063,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Senegal,I,20,9,1860,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Iraq,I,63,9,1607,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Norway,I,10,4,1914,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Argentina,J,2,0,2115,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Algeria,J,30,13,1772,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Austria,J,24,-6,1830,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Jordan,J,52,5,1680,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Portugal,K,5,-1,1989,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
DR Congo,K,55,11,1652,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Uzbekistan,K,43,-1,1714,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Colombia,K,6,2,1982,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
England,L,4,2,2024,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Croatia,L,11,-2,1912,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Ghana,L,81,5,1510,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
Panama,L,40,-2,1730,2026-06-16,FIFA World Cup 2026,https://www.eloratings.net/
