fifa_rank,team,team_fifa,fifa_points
1,Argentina,Argentina,1889.06
2,France,France,1887.11
3,Spain,Spain,1856.03
4,England,England,1847.68
5,Brazil,Brazil,1765.34
6,Morocco,Morocco,1755.62
7,Portugal,Portugal,1755.09
8,Netherlands,Netherlands,1749.20
9,Germany,Germany,1743.54
10,Belgium,Belgium,1733.93
11,Colombia,Colombia,1712.60
12,Italy,Italy,1704.73
13,Mexico,Mexico,1700.98
14,Croatia,Croatia,1695.21
15,United States,USA,1688.53
16,Senegal,Senegal,1667.66
17,Japan,Japan,1665.94
18,Uruguay,Uruguay,1661.95
19,Switzerland,Switzerland,1640.92
20,Denmark,Denmark,1619.47
21,Austria,Austria,1612.86
22,South Korea,Korea Republic,1612.55
23,Australia,Australia,1605.61
24,Iran,IR Iran,1605.12
25,Nigeria,Nigeria,1585.02
26,Turkey,Türkiye,1579.47
27,Norway,Norway,1577.18
28,Ecuador,Ecuador,1570.76
29,Egypt,Egypt,1570.67
30,Ivory Coast,Côte d'Ivoire,1568.62
31,Algeria,Algeria,1559.24
32,Canada,Canada,1551.50
33,Ukraine,Ukraine,1549.29
34,Sweden,Sweden,1533.19
35,Russia,Russia,1529.60
36,Poland,Poland,1526.18
37,Scotland,Scotland,1518.77
38,Wales,Wales,1516.95
39,Czech Republic,Czechia,1506.49
40,Hungary,Hungary,1506.39
41,Panama,Panama,1505.33
42,Serbia,Serbia,1502.13
43,Paraguay,Paraguay,1488.05
44,DR Congo,Congo DR,1487.18
45,Cameroon,Cameroon,1481.24
46,Slovakia,Slovakia,1473.66
47,Greece,Greece,1473.19
48,Venezuela,Venezuela,1469.18
49,Qatar,Qatar,1459.45
50,Chile,Chile,1458.20
51,Peru,Peru,1457.69
52,Costa Rica,Costa Rica,1456.03
53,Romania,Romania,1455.89
54,Mali,Mali,1455.59
55,Tunisia,Tunisia,1453.00
56,Uzbekistan,Uzbekistan,1444.48
57,Republic of Ireland,Republic of Ireland,1441.10
58,Slovenia,Slovenia,1441.09
59,Saudi Arabia,Saudi Arabia,1435.00
60,Iraq,Iraq,1426.53
61,Burkina Faso,Burkina Faso,1406.99
62,Bosnia and Herzegovina,Bosnia and Herzegovina,1395.19
63,South Africa,South Africa,1393.21
64,Cape Verde,Cabo Verde,1389.79
65,Ghana,Ghana,1380.71
66,Honduras,Honduras,1378.97
67,Albania,Albania,1376.03
68,Jordan,Jordan,1372.29
69,United Arab Emirates,United Arab Emirates,1370.47
70,North Macedonia,North Macedonia,1369.16
71,Northern Ireland,Northern Ireland,1365.30
72,Jamaica,Jamaica,1357.84
73,Georgia,Georgia,1355.26
74,Iceland,Iceland,1342.77
75,Finland,Finland,1341.92
76,Israel,Israel,1333.90
77,Bolivia,Bolivia,1326.00
78,Kosovo,Kosovo,1319.12
79,Oman,Oman,1306.90
80,Montenegro,Montenegro,1301.98
81,Guinea,Guinea,1295.60
82,New Zealand,New Zealand,1290.04
83,Curacao,Curaçao,1287.00
84,Syria,Syria,1283.05
85,Haiti,Haiti,1277.67
86,Gabon,Gabon,1272.51
87,Bulgaria,Bulgaria,1271.68
88,Angola,Angola,1265.58
89,Uganda,Uganda,1264.09
90,Zambia,Zambia,1255.82
91,China,China PR,1254.81
92,Bahrain,Bahrain,1254.41
93,Benin,Benin,1252.17
94,Thailand,Thailand,1250.80
95,Palestine,Palestine,1243.71
96,Belarus,Belarus,1242.88
